id,first_name,second_name,team,position,now_cost,total_points,minutes,goals_scored,assists,clean_sheets,selected_by_percent
594,Yang,Min-hyeok,18,Milieu,4.5,0,0,0,0,0,0.0
595,Callum,Olusesi,18,Milieu,4.4,0,0,0,0,0,0.2
596,Dominic,Solanke-Mitchell,18,Attaquant,7.3,2,31,0,0,0,2.2
597,Richarlison,de Andrade,18,Attaquant,6.7,19,238,2,1,2,13.8
598,Will,Lankshear,18,Attaquant,4.5,0,0,0,0,0,0.0
599,Dane,Scarlett,18,Attaquant,4.4,0,0,0,0,0,0.7
673,João Maria,Lobo Alves Palhares Costa Palhinha Gonçalves,18,Milieu,5.5,13,153,1,0,1,0.8
717,Xavi,Simons,18,Milieu,7.0,0,0,0,0,0,0.6
726,Randal,Kolo Muani,18,Attaquant,7.0,0,0,0,0,0,0.1
149,Igor Julio,dos Santos de Paulo,19,Défenseur,4.5,0,0,0,0,0,0.1
600,Alphonse,Areola,19,Gardien,4.4,0,0,0,0,0,3.0
601,Wes,Foderingham,19,Gardien,4.0,0,0,0,0,0,0.5
602,Krisztián,Hegyi,19,Gardien,4.0,0,0,0,0,0,0.3
603,El Hadji Malick,Diouf,19,Défenseur,4.5,14,270,0,2,1,5.3
604,Emerson,Palmieri dos Santos,19,Défenseur,4.4,0,0,0,0,0,0.1
605,Maximilian,Kilman,19,Défenseur,4.4,6,270,0,0,1,0.2
606,Konstantinos,Mavropanos,19,Défenseur,4.4,6,90,0,0,1,0.1
607,Nayef,Aguerd,19,Défenseur,4.4,3,180,0,0,0,0.1
608,Ollie,Scarles,19,Défenseur,4.4,0,0,0,0,0,0.0
609,Jean-Clair,Todibo,19,Défenseur,4.4,1,126,0,0,0,0.1
610,Aaron,Wan-Bissaka,19,Défenseur,4.4,1,180,0,0,0,15.3
611,Kaelan,Casey,19,Défenseur,4.0,0,0,0,0,0,0.1
612,Lucas,Tolentino Coelho de Lima,19,Milieu,5.9,21,270,2,0,1,2.2
613,Tomáš,Souček,19,Milieu,5.8,6,178,0,0,1,0.5
614,James,Ward-Prowse,19,Milieu,5.9,7,234,0,0,1,0.3
615,Crysencio,Summerville,19,Milieu,5.5,7,8,0,2,0,0.0
616,Edson,Álvarez Velázquez,19,Milieu,4.9,0,0,0,0,0,0.1
617,Maxwel,Cornet,19,Milieu,4.9,0,0,0,0,0,0.0
618,Guido,Rodríguez,19,Milieu,4.9,2,70,0,0,0,0.1
619,Luis Guilherme,Lira dos Santos,19,Milieu,4.9,0,0,0,0,0,0.0
620,George,Earthy,19,Milieu,4.5,0,0,0,0,0,0.1
621,Andy,Irving,19,Milieu,4.5,2,23,0,0,0,0.3
622,Lewis,Orford,19,Milieu,4.4,0,0,0,0,0,0.1
623,Freddie,Potts,19,Milieu,4.4,1,45,0,0,0,0.6
624,Jarrod,Bowen,19,Attaquant,7.8,13,270,1,0,1,7.5
625,Niclas,Füllkrug,19,Attaquant,5.8,5,198,0,0,1,1.7
626,Callum,Marshall,19,Attaquant,4.4,0,0,0,0,0,0.7
659,Kyle,Walker-Peters,19,Défenseur,4.4,7,110,0,0,1,0.3
671,Callum,Wilson,19,Attaquant,5.9,9,90,1,0,0,0.4
679,Mads,Hermansen,19,Gardien,4.5,8,270,0,0,1,0.3
708,Mateus Gonçalo,Espanha Fernandes,19,Milieu,5.5,3,81,0,0,1,0.0
718,Soungoutou,Magassa,19,Milieu,5.0,0,0,0,0,0,0.0
627,Sam,Johnstone,20,Gardien,4.5,0,0,0,0,0,0.1
628,José,Malheiro de Sá,20,Gardien,4.5,4,270,0,0,0,1.8
629,Daniel,Bentley,20,Gardien,4.0,0,0,0,0,0,0.7
631,Emmanuel,Agbadou,20,Défenseur,4.5,5,270,0,0,0,0.4
632,Matt,Doherty,20,Défenseur,4.5,0,180,0,0,0,0.2
633,Hugo,Bueno López,20,Défenseur,4.5,2,137,0,0,0,0.1
634,Yerson,Mosquera Valdelamar,20,Défenseur,4.4,0,0,0,0,0,0.1
635,Rodrigo,Martins Gomes,20,Défenseur,4.5,8,44,1,0,0,0.1
636,Santiago,Ignacio Bueno,20,Défenseur,4.5,4,124,0,0,0,0.0
637,Toti,Gomes,20,Défenseur,4.4,1,228,0,0,0,0.1
638,Ki-Jana,Hoever,20,Défenseur,4.0,2,106,0,0,0,1.7
639,Bastien,Meupiyou Menadjou,20,Défenseur,4.0,0,0,0,0,0,0.0
640,Pedro,Cardoso de Lima,20,Défenseur,4.0,0,0,0,0,0,0.9
641,Alfie,Pond,20,Défenseur,4.0,0,0,0,0,0,1.2
642,Hwang,Hee-chan,20,Milieu,5.9,9,95,1,0,0,0.1
643,André,Trindade da Costa Neto,20,Milieu,5.5,7,179,0,0,0,0.1
644,Jean-Ricner,Bellegarde,20,Milieu,5.4,4,143,0,0,0,0.1
645,Fer,López González,20,Milieu,5.4,2,44,0,0,0,0.0
646,João Victor,Gomes da Silva,20,Milieu,5.5,5,270,0,0,0,0.1
647,Gonçalo Manuel,Ganchinho Guedes,20,Milieu,5.5,0,0,0,0,0,0.0
648,Marshall,Munetsi,20,Milieu,5.5,9,270,0,1,0,0.1
