id,first_name,second_name,team,position,now_cost,total_points,minutes,goals_scored,assists,clean_sheets,selected_by_percent
333,Martial,Godo,10,Milieu,4.5,0,0,0,0,0,0.1
334,Luke,Harris,10,Milieu,4.5,0,0,0,0,0,0.0
335,Josh,King,10,Milieu,4.5,6,212,0,0,0,2.0
336,Harrison,Reed,10,Milieu,4.4,0,0,0,0,0,0.3
337,Raúl,Jiménez Rodríguez,10,Attaquant,6.4,4,115,0,0,0,1.4
338,Rodrigo,Muniz Carvalho,10,Attaquant,5.5,8,152,1,0,0,2.3
664,Benjamin,Lecomte,10,Gardien,4.0,0,0,0,0,0,0.8
727,Samuel,Chukwueze,10,Milieu,5.5,0,0,0,0,0,0.0
731,Kevin,Santos Lopes de Macedo,10,Milieu,6.0,0,0,0,0,0,0.0
339,Illan,Meslier,11,Gardien,4.4,0,0,0,0,0,0.6
340,Alex,Cairns,11,Gardien,4.0,0,0,0,0,0,0.2
341,Karl,Darlow,11,Gardien,4.0,0,0,0,0,0,2.5
342,Jayden,Bogle,11,Défenseur,4.5,11,262,0,0,2,0.2
343,Pascal,Struijk,11,Défenseur,4.5,14,270,0,0,2,0.4
344,Jaka,Bijol,11,Défenseur,4.0,0,0,0,0,0,0.2
345,Sebastiaan,Bornauw,11,Défenseur,4.0,0,0,0,0,0,0.1
346,Sam,Byram,11,Défenseur,4.0,1,7,0,0,0,0.2
347,Gabriel,Gudmundsson,11,Défenseur,4.0,17,259,0,0,2,3.9
348,Joe,Rodon,11,Défenseur,4.0,16,270,0,0,2,2.8
349,Isaac,Schmidt,11,Défenseur,4.0,0,0,0,0,0,0.2
350,Brenden,Aaronson,11,Milieu,5.4,3,77,0,0,0,0.1
351,Wilfried,Gnonto,11,Milieu,5.4,5,190,0,0,1,0.3
352,Jack,Harrison,11,Milieu,5.4,2,42,0,0,0,0.1
353,Daniel,James,11,Milieu,5.4,6,201,0,0,1,0.4
354,Ethan,Ampadu,11,Milieu,4.9,3,77,0,0,1,0.0
355,Sam,Greenwood,11,Milieu,4.9,0,0,0,0,0,0.1
356,Ilia,Gruev,11,Milieu,5.0,6,192,0,0,1,0.0
357,Largie,Ramazani,11,Milieu,4.9,0,0,0,0,0,0.0
358,Tanaka,Ao,11,Milieu,4.9,4,147,0,0,1,0.2
359,Charlie,Crew,11,Milieu,4.5,0,0,0,0,0,0.0
360,Joe,Gelhardt,11,Milieu,4.5,0,0,0,0,0,0.0
361,Darko,Gyabi,11,Milieu,4.5,0,0,0,0,0,0.1
362,Joël,Piroe,11,Attaquant,5.4,3,134,0,0,1,1.1
363,Patrick,Bamford,11,Attaquant,4.9,0,0,0,0,0,1.1
364,Mateo,Joseph Fernández-Regatillo,11,Attaquant,5.0,0,0,0,0,0,0.0
365,Lukas,Nmecha,11,Attaquant,5.0,8,113,1,0,1,0.8
493,Sean,Longstaff,11,Milieu,4.9,7,123,0,0,1,0.2
660,Anton,Stach,11,Milieu,5.0,13,270,0,1,2,0.5
665,Lucas Estella,Perri,11,Gardien,4.5,12,270,0,0,2,0.4
691,Dominic,Calvert-Lewin,11,Attaquant,5.5,1,20,0,0,0,0.1
698,Noah,Okafor,11,Milieu,5.5,1,24,0,0,0,0.0
706,James,Justin,11,Défenseur,4.0,1,10,0,0,0,0.2
